Field,AverageFrequency,,,,,,,,
6609,293,,,,,,,,
6608,108,,,,,,,,
6610,95,,,,,,,,
6112,81,,,,,,,,
6611,62,,,,,,,,
6607,58,,,,,,,,
6109,54,,,,,,,,
6110,44,,,,,,,,
6602,41,,,,,,,,
6113,40,,,,,,,,
6618,33,,,,,,,,
6002,25,,,,,,,,
6309,21,,,,,,,,
6310,21,,,,,,,,
6612,20,,,,,,,,
6102,18,,,,,,,,
6506,18,,,,,,,,
6207,17,,,,,,,,
6001,14,,,,,,,,
6101,14,,,,,,,,
7515,11,,,,,,,,
6400,10,,,,,,,,
6614,9,,,,,,,,
7502,8,,,,,,,,
6311,7,,,,,,,,
6616,7,,,,,,,,
6617,7,,,,,,,,
6618,7,,,,,,,,
6612,6,,,,,,,,
6103,5,,,,,,,,
6405,5,,,,,,,,
7412,5,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,6205,4
,,,,,,,,6306,4
,,,,,,,,6506,4
,,,,,,,,6615,4
,,,,,,,,7102,4
,,,,,,,,6509,3
,,,,,,,,6513,3
,,,,,,,,7506,3
,,,,,,,,6108,2
,,,,,,,,6405,2
,,,,,,,,6418,2
,,,,,,,,6604,2
,,,,,,,,7504,2
,,,,,,,,7507,2
,,,,,,,,7516,2
,,,,,,,,6104,1
,,,,,,,,6202,1
,,,,,,,,6308,1
,,,,,,,,7402,1
,,,,,,,,7501,1
